"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_id","pol_or","CI_difference"
"335","Player1-Democrat",3,"ingroup",2,NA,NA,3,1,1,"Dem",2,6
"336","Player1-Democrat",2,"other",3,NA,NA,3,1,2,"Dem",1,0
"337","Player1-Democrat",4,"outgroup",5,NA,NA,3,1,1,"Dem",1,5
"338","Player4-Republican",3,"ingroup",3,NA,NA,3,2,2,"Rep",2,0
"339","Player3-Democrat",4,"outgroup",2,NA,NA,3,1,1,"Dem",3,1.33333333333333
"340","Player4-Republican",3,"ingroup",2,NA,NA,3,2,1,"Rep",6,0
"341","Player3-Democrat",2,"other",4,NA,NA,3,1,2,"Dem",2,2.66666666666667
"342","Player3-Democrat",1,"self",7,2,NA,3,1,1,"Dem",1,-5.33333333333333
"343","Player4-Republican",1,"self",6,1,1,3,1,4,"Rep",5,3
"344","Player3-Democrat",2,"other",2,NA,NA,3,1,1,"Dem",4,-1.66666666666667
"345","Player2-Republican",2,"other",4,NA,NA,3,1,1,"Rep",5,3.66666666666667
"346","Player1-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",2,4.33333333333333
"347","Player1-Democrat",3,"ingroup",4,NA,NA,3,2,2,"Dem",1,4
"348","Player2-Republican",4,"outgroup",1,NA,NA,3,2,2,"Rep",4,0
"349","Player3-Democrat",3,"ingroup",4,NA,NA,3,2,2,"Dem",1,1
"350","Player3-Democrat",1,"self",6,1,1,3,2,4,"Dem",2,-0.333333333333333
"351","Player3-Democrat",1,"self",3,1,1,3,1,4,"Dem",1,5.33333333333333
"352","Player1-Democrat",4,"outgroup",4,NA,NA,3,1,1,"Dem",2,4
"353","Player2-Republican",1,"self",7,1,1,3,1,4,"Rep",6,2.33333333333333
"354","Player4-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",7,5.66666666666667
"355","Player4-Republican",2,"other",5,NA,NA,3,1,2,"Rep",6,5.66666666666667
"356","Player1-Democrat",1,"self",5,1,1,3,1,1,"Dem",2,2.66666666666667
"357","Player4-Republican",4,"outgroup",1,NA,NA,3,1,1,"Rep",6,5
"358","Player2-Republican",3,"ingroup",5,NA,NA,3,2,2,"Rep",6,4
"359","Player1-Democrat",3,"ingroup",2,NA,NA,3,1,1,"Dem",2,4.66666666666667
"360","Player2-Republican",1,"self",7,2,NA,3,1,1,"Rep",6,5
"361","Player4-Republican",2,"other",1,NA,NA,3,1,1,"Rep",5,3
"362","Player4-Republican",4,"outgroup",6,NA,NA,3,1,1,"Rep",5,-1.66666666666667
"363","Player4-Republican",4,"outgroup",2,NA,NA,3,1,1,"Rep",7,4.66666666666667
"364","Player2-Republican",2,"other",3,NA,NA,3,1,1,"Rep",5,-1
"365","Player3-Democrat",4,"outgroup",5,NA,NA,3,1,1,"Dem",2,4
"366","Player1-Democrat",2,"other",5,NA,NA,3,1,1,"Dem",1,3.33333333333333
"367","Player1-Democrat",1,"self",5,1,1,3,1,1,"Dem",1,1.66666666666667
"368","Player1-Democrat",3,"ingroup",6,NA,NA,3,1,1,"Dem",2,6
"369","Player2-Republican",3,"ingroup",4,NA,NA,3,2,2,"Rep",5,1.33333333333333
"370","Player3-Democrat",2,"other",6,NA,NA,3,1,1,"Dem",1,3.33333333333333
"371","Player2-Republican",1,"self",7,2,NA,3,1,1,"Rep",6,3.66666666666667
"372","Player3-Democrat",1,"self",5,1,1,3,2,1,"Dem",4,0
"373","Player4-Republican",2,"other",5,NA,NA,3,2,2,"Rep",4,3.66666666666667
"374","Player3-Democrat",2,"other",1,NA,NA,3,1,2,"Dem",2,3
"375","Player3-Democrat",4,"outgroup",1,NA,NA,3,1,1,"Dem",4,5
"376","Player2-Republican",4,"outgroup",5,NA,NA,3,2,2,"Rep",5,3.66666666666667
"377","Player3-Democrat",4,"outgroup",4,NA,NA,1,1,1,"Dem",1,6
"378","Player1-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",2,2
"379","Player4-Republican",3,"ingroup",3,NA,NA,3,1,1,"Rep",6,2.66666666666667
"380","Player2-Republican",1,"self",5,1,1,3,1,1,"Rep",6,2.66666666666667
"381","Player4-Republican",2,"other",2,NA,NA,3,1,1,"Rep",6,-5.33333333333333
"382","Player1-Democrat",1,"self",2,1,1,3,1,1,"Dem",2,2.66666666666667
"383","Player1-Democrat",2,"other",4,NA,NA,3,1,1,"Dem",1,1.66666666666667
"384","Player4-Republican",2,"other",5,NA,NA,3,1,1,"Rep",5,-1.33333333333333
"385","Player3-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",1,6
"386","Player1-Democrat",4,"outgroup",2,NA,NA,3,1,1,"Dem",2,4
