"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"464","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,2,4,0
"465","Player3-Overestimator",1,"self",6,1,1,3,1,1,1,5.66666666666667
"466","Player1-Overestimator",4,"outgroup",5,NA,NA,3,1,2,2,-0.333333333333333
"467","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,6,0.333333333333333
"468","Player4-Underestimator",1,"self",3,1,1,3,1,2,4,2.66666666666667
"469","Player1-Overestimator",2,"other",6,NA,NA,3,1,1,6,0
"470","Player1-Overestimator",1,"self",3,1,1,3,1,1,4,0
"471","Player3-Overestimator",1,"self",2,1,1,3,2,2,1,-3
"472","Player4-Underestimator",2,"other",4,NA,NA,3,2,2,3,0.333333333333333
"473","Player1-Overestimator",3,"ingroup",3,NA,NA,3,2,2,1,1.33333333333333
"474","Player4-Underestimator",2,"other",2,NA,NA,3,1,1,2,0.333333333333333
"475","Player2-Underestimator",1,"self",2,1,1,3,1,1,4,1.33333333333333
"476","Player3-Overestimator",4,"outgroup",3,NA,NA,3,2,2,1,1.66666666666667
"477","Player3-Overestimator",2,"other",2,NA,NA,3,2,2,3,0
"478","Player3-Overestimator",2,"other",4,NA,NA,3,1,2,1,1.33333333333333
"479","Player1-Overestimator",1,"self",3,1,1,3,2,1,4,0
"480","Player3-Overestimator",1,"self",5,1,1,3,1,1,2,1.33333333333333
"481","Player2-Underestimator",3,"ingroup",5,NA,NA,3,2,2,4,-0.666666666666667
"482","Player1-Overestimator",1,"self",6,2,NA,3,1,1,2,-1.33333333333333
"483","Player2-Underestimator",4,"outgroup",4,NA,NA,3,1,1,2,0
"484","Player3-Overestimator",3,"ingroup",5,NA,NA,3,1,1,1,1.33333333333333
"485","Player1-Overestimator",2,"other",4,NA,NA,3,1,1,4,0
"486","Player1-Overestimator",3,"ingroup",4,NA,NA,3,2,2,1,2
"487","Player4-Underestimator",3,"ingroup",2,NA,NA,3,1,1,3,0
"488","Player4-Underestimator",4,"outgroup",3,NA,NA,3,1,1,4,2.33333333333333
"489","Player2-Underestimator",2,"other",5,NA,NA,3,1,1,1,0
"490","Player3-Overestimator",3,"ingroup",6,NA,NA,3,1,2,2,2
"491","Player4-Underestimator",4,"outgroup",4,NA,NA,3,2,2,1,2
"492","Player1-Overestimator",1,"self",7,2,NA,3,1,2,3,0
"493","Player1-Overestimator",2,"other",6,NA,NA,3,1,1,2,0
"494","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,2,2,0.666666666666667
"495","Player3-Overestimator",1,"self",3,1,1,3,1,2,4,0.666666666666667
"496","Player2-Underestimator",2,"other",3,NA,NA,3,1,1,4,0
"497","Player2-Underestimator",4,"outgroup",2,NA,NA,3,1,1,4,0
"498","Player3-Overestimator",4,"outgroup",3,NA,NA,3,1,1,6,3.66666666666667
"499","Player4-Underestimator",1,"self",6,1,1,3,1,2,NA,0.666666666666667
"500","Player2-Underestimator",1,"self",7,2,NA,3,1,2,3,0.666666666666667
"501","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,1,4,0.666666666666667
"502","Player4-Underestimator",4,"outgroup",4,NA,NA,3,1,1,1,0
"503","Player2-Underestimator",2,"other",4,NA,NA,3,2,2,2,0
"504","Player1-Overestimator",4,"outgroup",2,NA,NA,3,1,1,4,3.66666666666667
"505","Player3-Overestimator",1,"self",2,1,1,3,1,1,3,0
"506","Player3-Overestimator",2,"other",4,NA,NA,3,1,2,6,-0.666666666666667
"507","Player2-Underestimator",4,"outgroup",6,NA,NA,3,1,1,5,1.33333333333333
"508","Player1-Overestimator",2,"other",2,NA,NA,3,1,1,4,0
"509","Player4-Underestimator",3,"ingroup",3,NA,NA,3,2,2,2,0.333333333333333
"510","Player4-Underestimator",3,"ingroup",2,NA,NA,3,2,2,1,0
"511","Player1-Overestimator",3,"ingroup",4,NA,NA,3,1,1,2,0.333333333333333
"512","Player2-Underestimator",4,"outgroup",1,NA,NA,3,1,1,4,3
"513","Player2-Underestimator",4,"outgroup",1,NA,NA,3,1,1,2,5
"514","Player3-Overestimator",1,"self",6,1,1,3,1,1,6,3
"515","Player4-Underestimator",4,"outgroup",2,NA,NA,3,1,1,4,1.33333333333333
"516","Player1-Overestimator",1,"self",6,1,1,3,1,1,4,4.33333333333333
"517","Player3-Overestimator",4,"outgroup",1,NA,NA,3,1,1,4,0
"518","Player2-Underestimator",1,"self",7,1,1,3,1,1,3,6
"519","Player4-Underestimator",3,"ingroup",5,NA,NA,3,1,1,3,1.33333333333333
"520","Player3-Overestimator",4,"outgroup",4,NA,NA,3,2,2,4,0.666666666666667
"521","Player1-Overestimator",1,"self",6,1,1,3,1,1,2,0
"522","Player4-Underestimator",2,"other",5,NA,NA,3,1,1,4,4
"523","Player2-Underestimator",4,"outgroup",6,NA,NA,3,2,1,3,-0.333333333333333
"524","Player2-Underestimator",3,"ingroup",2,NA,NA,3,1,2,1,0
"525","Player4-Underestimator",2,"other",5,NA,NA,3,1,1,6,1.66666666666667
"526","Player1-Overestimator",3,"ingroup",7,NA,NA,3,1,1,1,5.66666666666667
"527","Player4-Underestimator",1,"self",3,1,1,3,1,2,4,1
